open_time,open,high,low,close,volume,close_time
1763942400000,86807.6,87189.1,85915.0,86701.8,12992.239,1763945999999
1763946000000,86701.7,87054.0,86360.9,87033.6,6912.366,1763949599999
1763949600000,87033.6,88049.5,86976.8,87483.6,12188.227,1763953199999
1763953200000,87483.6,87756.4,87150.7,87408.8,4665.881,1763956799999
1763956800000,87408.7,87555.4,86400.0,86682.7,7476.253,1763960399999
1763960400000,86682.6,87795.9,86624.6,87425.3,7194.677,1763963999999
1763964000000,87425.4,87475.1,86736.9,86862.1,6034.819,1763967599999
1763967600000,86862.1,87311.1,86642.1,87004.6,5389.417,1763971199999
1763971200000,87004.6,87004.6,86674.4,86916.5,3807.19,1763974799999
1763974800000,86916.4,86916.4,85760.0,85913.7,10392.66,1763978399999
1763978400000,85913.8,86164.7,85654.1,86017.1,6800.987,1763981999999
1763982000000,86017.1,86409.3,85796.2,86232.5,4189.21,1763985599999
1763985600000,86232.5,86290.0,85840.0,85967.3,5965.959,1763989199999
1763989200000,85967.2,86544.2,85919.0,86114.7,6591.232,1763992799999
1763992800000,86114.7,86634.1,85226.4,86128.0,18662.051,1763996399999
1763996400000,86127.9,86700.0,85858.8,86571.0,16200.568,1763999999999
1764000000000,86571.1,87678.7,86571.0,87123.2,15634.382,1764003599999
1764003600000,87123.3,88402.7,86888.0,88314.9,14748.332,1764007199999
1764007200000,88315.0,88669.6,88128.4,88658.9,11677.785,1764010799999
1764010800000,88658.8,88788.0,87990.7,88277.0,9393.469,1764014399999
1764014400000,88277.1,89177.3,88277.1,89018.7,11481.904,1764017999999
1764018000000,89018.6,89073.3,88670.0,88713.3,4489.722,1764021599999
1764021600000,88713.3,89053.3,88548.6,88584.7,3532.581,1764025199999
1764025200000,88584.7,88650.5,88205.3,88247.1,4691.421,1764028799999
1764028800000,88247.1,88247.1,87825.0,88057.9,5747.562,1764032399999
1764032400000,88058.0,88172.6,87666.0,87687.5,4813.754,1764035999999
1764036000000,87687.6,87900.0,87378.8,87864.4,5197.445,1764039599999
1764039600000,87864.3,88014.2,87500.0,87775.1,3955.216,1764043199999
1764043200000,87775.0,88477.6,87739.6,88298.9,5461.34,1764046799999
1764046800000,88298.9,88299.0,87884.1,88078.3,2521.941,1764050399999
1764050400000,88078.3,88110.1,87757.8,87963.8,2699.732,1764053999999
1764054000000,87963.8,88022.2,87240.0,87362.2,6381.878,1764057599999
1764057600000,87362.2,87585.7,86959.9,86978.6,6424.0,1764061199999
1764061200000,86978.6,87218.3,86628.4,87194.3,9531.828,1764064799999
1764064800000,87194.3,87384.2,86904.7,87358.6,4882.576,1764068399999
1764068400000,87358.5,87488.5,87257.8,87311.9,2948.769,1764071999999
1764072000000,87312.0,87732.7,87310.5,87470.6,4591.709,1764075599999
1764075600000,87470.6,87675.0,86806.2,87027.8,8757.527,1764079199999
1764079200000,87027.8,87261.3,86061.1,86695.0,16137.107,1764082799999
1764082800000,86694.9,87267.8,86150.0,86946.5,10237.762,1764086399999
1764086400000,86946.6,87255.0,86661.1,87081.0,6166.56,1764089999999
1764090000000,87080.9,88115.0,87000.1,87581.1,9631.952,1764093599999
1764093600000,87581.1,87796.2,87182.3,87195.5,4601.734,1764097199999
1764097200000,87195.6,87300.6,86132.7,86835.0,9681.879,1764100799999
1764100800000,86835.1,87428.6,86660.6,87330.8,5697.656,1764104399999
1764104400000,87330.6,87407.1,86936.9,86993.5,3206.186,1764107999999
1764108000000,86993.4,87686.5,86542.0,87606.2,5786.504,1764111599999
1764111600000,87606.2,87869.4,87284.9,87324.1,4575.038,1764115199999
1764115200000,87324.1,87734.1,87315.0,87536.7,4074.701,1764118799999
1764118800000,87536.7,88200.0,87291.1,87878.7,4965.291,1764122399999
1764122400000,87878.6,88046.6,87610.0,87672.5,3416.717,1764125999999
1764126000000,87672.6,87852.0,87022.2,87088.5,4684.266,1764129599999
1764129600000,87088.4,87323.3,86851.1,87190.0,4944.626,1764133199999
1764133200000,87190.0,87711.1,87175.0,87479.9,3523.467,1764136799999
1764136800000,87479.9,87857.3,87410.1,87762.4,2809.766,1764140399999
1764140400000,87762.4,87947.0,87661.0,87896.2,2827.734,1764143999999
1764144000000,87896.2,87909.2,87368.0,87380.6,3232.013,1764147599999
1764147600000,87380.5,87413.9,86700.9,86799.9,5837.826,1764151199999
1764151200000,86799.9,87023.2,86630.0,86916.1,5046.655,1764154799999
1764154800000,86916.1,87062.4,86804.0,87049.2,3338.458,1764158399999
1764158400000,87049.1,87134.5,86260.9,86601.1,8699.878,1764161999999
1764162000000,86601.0,87087.3,86517.9,87082.0,6214.826,1764165599999
1764165600000,87082.1,87646.8,86716.0,86858.1,10907.573,1764169199999
1764169200000,86858.0,87318.0,86596.6,86926.2,10464.855,1764172799999
1764172800000,86926.3,87939.3,86914.3,87778.9,9993.612,1764176399999
1764176400000,87778.9,89927.6,87663.4,89792.5,22581.303,1764179999999
1764180000000,89792.4,90362.7,89630.3,90103.4,15698.211,1764183599999
1764183600000,90103.5,90150.1,89692.3,89923.3,6038.94,1764187199999
1764187200000,89923.3,90069.2,89458.7,89811.0,6189.541,1764190799999
1764190800000,89811.0,90468.4,89759.0,90142.8,5919.253,1764194399999
1764194400000,90142.8,90655.4,90074.6,90330.5,4457.393,1764197999999
1764198000000,90330.5,90555.0,90263.0,90438.1,3279.628,1764201599999
1764201600000,90438.0,90533.0,90024.4,90426.6,5456.217,1764205199999
1764205200000,90426.5,91195.1,90324.0,91094.8,8712.023,1764208799999
1764208800000,91094.7,91850.0,90832.2,91335.4,12868.617,1764212399999
1764212400000,91335.3,91557.0,91000.0,91049.3,5709.07,1764215999999
1764216000000,91049.3,91314.8,91013.1,91233.0,2930.915,1764219599999
1764219600000,91232.9,91520.0,90843.8,90932.0,5935.559,1764223199999
1764223200000,90932.0,91399.3,90928.8,91198.6,2945.908,1764226799999
1764226800000,91198.6,91461.9,91091.6,91361.5,2365.018,1764230399999
1764230400000,91361.4,91477.1,91177.2,91440.2,3046.426,1764233999999
1764234000000,91440.3,91931.9,91440.0,91523.6,7682.239,1764237599999
1764237600000,91523.7,91704.0,91299.0,91566.0,4691.199,1764241199999
1764241200000,91566.1,91577.2,91261.8,91334.9,2718.253,1764244799999
1764244800000,91334.9,91418.4,90914.2,90954.6,6273.668,1764248399999
1764248400000,90954.7,91043.1,90410.6,90813.7,10412.143,1764251999999
1764252000000,90813.6,90945.4,90531.1,90744.6,3948.387,1764255599999
1764255600000,90744.6,90943.5,90586.1,90912.9,3395.519,1764259199999
1764259200000,90913.0,91520.0,90800.4,91410.1,8192.379,1764262799999
1764262800000,91410.0,91597.8,91252.0,91431.0,3028.19,1764266399999
1764266400000,91430.9,91800.0,91297.3,91741.1,3943.89,1764269999999
1764270000000,91741.0,91741.0,91456.6,91489.0,2026.573,1764273599999
1764273600000,91489.0,91554.8,91353.0,91387.6,1644.488,1764277199999
1764277200000,91387.6,91562.8,91156.4,91373.4,1851.839,1764280799999
1764280800000,91373.5,91550.0,91058.4,91285.0,2033.995,1764284399999
1764284400000,91285.0,91524.0,91173.9,91292.2,1872.717,1764287999999
1764288000000,91292.2,91386.6,91023.4,91173.3,1933.464,1764291599999
1764291600000,91173.2,91173.3,90750.0,90754.3,3980.413,1764295199999
1764295200000,90754.3,91111.5,90612.2,91035.7,5368.834,1764298799999
1764298800000,91035.8,91266.0,90955.5,91168.0,2474.445,1764302399999
1764302400000,91168.0,91450.0,91084.5,91381.4,2347.394,1764305999999
1764306000000,91381.5,91690.0,91258.9,91576.6,3477.922,1764309599999
1764309600000,91576.7,91576.7,91117.1,91255.3,3145.946,1764313199999
1764313200000,91255.3,91529.9,90824.1,90870.2,4539.641,1764316799999
1764316800000,90870.2,91680.0,90863.6,91649.9,6396.331,1764320399999
1764320400000,91649.9,91855.0,91369.6,91560.8,4769.501,1764323999999
1764324000000,91560.9,91830.6,91434.1,91802.8,2772.559,1764327599999
