open_time,open,high,low,close,volume,close_time
1766736000000,88433.0,88888.0,88380.0,88507.5,11419.104,1766750399999
1766750400000,88507.6,89037.0,86619.9,87100.0,51437.502,1766764799999
1766764800000,87100.0,87555.0,86760.4,87453.7,19187.707,1766779199999
1766779200000,87453.7,87750.0,87266.6,87318.2,7874.95,1766793599999
1766793600000,87318.3,87493.4,87203.0,87473.4,4564.436,1766807999999
1766808000000,87473.4,87669.7,87374.5,87490.9,3525.475,1766822399999
1766822400000,87490.9,87634.9,87324.6,87433.6,5166.212,1766836799999
1766836800000,87433.6,87555.0,87264.8,87516.2,4515.048,1766851199999
1766851200000,87516.3,87545.6,87397.5,87522.4,2442.758,1766865599999
1766865600000,87522.3,87956.9,87455.5,87829.4,7080.18,1766879999999
1766880000000,87829.5,87921.7,87674.4,87693.0,4818.273,1766894399999
1766894400000,87693.1,87802.5,87566.0,87697.7,3595.942,1766908799999
1766908800000,87697.7,87980.9,87676.4,87850.8,5882.811,1766923199999
1766923200000,87850.9,88078.3,87762.2,87797.7,6369.212,1766937599999
1766937600000,87797.6,87902.7,87448.4,87488.6,9230.702,1766951999999
1766952000000,87488.7,88023.4,87402.6,87920.5,7463.024,1766966399999
1766966400000,87920.4,90156.5,87778.5,90091.6,45213.489,1766980799999
1766980800000,90091.5,90373.4,89448.1,89583.0,25464.187,1766995199999
1766995200000,89583.0,89791.5,87520.1,87529.0,45300.356,1767009599999
1767009600000,87529.1,88150.0,86760.0,87636.6,49719.631,1767023999999
1767024000000,87636.4,87968.1,87259.6,87328.9,15239.929,1767038399999
1767038400000,87328.9,87569.2,87043.4,87203.3,9066.617,1767052799999
1767052800000,87203.2,87393.1,86789.0,87334.7,13438.983,1767067199999
1767067200000,87334.7,87581.4,87105.6,87457.5,8171.089,1767081599999
1767081600000,87457.5,88190.6,87455.5,87875.2,23327.302,1767095999999
1767096000000,87875.3,89126.0,87788.2,88966.8,38901.923,1767110399999
1767110400000,88966.8,89355.0,87910.4,88189.7,32511.331,1767124799999
1767124800000,88189.8,88533.0,87833.2,88455.3,10394.632,1767139199999
1767139200000,88455.2,88780.0,88134.9,88411.5,11679.228,1767153599999
1767153600000,88411.6,88596.0,88280.1,88569.0,6284.482,1767167999999
1767168000000,88568.9,89000.0,88339.9,88967.6,12440.16,1767182399999
1767182400000,88967.6,89192.8,87729.2,87909.0,31536.84,1767196799999
1767196800000,87909.0,88024.3,87350.5,87515.0,24053.975,1767211199999
1767211200000,87515.0,87849.7,87189.2,87608.2,10773.672,1767225599999
1767225600000,87608.3,88065.0,87600.0,87824.6,7102.55,1767239999999
1767240000000,87824.6,87831.6,87508.4,87603.7,5685.305,1767254399999
1767254400000,87603.7,87985.6,87590.0,87980.1,6046.668,1767268799999
1767268800000,87980.1,88079.3,87758.4,87986.8,8130.085,1767283199999
1767283200000,87986.8,88475.8,87833.1,88354.8,11314.033,1767297599999
1767297600000,88354.8,88881.4,88193.2,88800.0,9662.662,1767311999999
1767312000000,88800.0,89088.0,88324.4,88899.3,19809.197,1767326399999
1767326400000,88899.3,89055.0,88533.6,88829.3,12241.301,1767340799999
1767340800000,88829.3,89900.0,88780.0,89458.3,27887.349,1767355199999
1767355200000,89458.3,90126.5,88401.2,89373.1,50647.142,1767369599999
1767369600000,89373.0,90945.1,89145.2,89865.0,53631.695,1767383999999
1767384000000,89865.0,90368.7,89588.0,89951.4,12445.764,1767398399999
1767398400000,89951.5,90365.9,89914.5,90279.9,6484.185,1767412799999
1767412800000,90280.0,90456.0,89261.2,89535.9,14358.15,1767427199999
1767427200000,89535.9,89943.9,89380.2,89706.4,9668.717,1767441599999
1767441600000,89706.4,90200.0,89620.0,89931.8,10078.954,1767455999999
1767456000000,89931.7,90189.0,89866.5,90091.8,4811.57,1767470399999
1767470400000,90091.8,90716.9,89972.9,90595.8,11489.693,1767484799999
1767484800000,90595.8,91597.6,90595.7,91192.7,21036.474,1767499199999
1767499200000,91192.7,91779.7,91142.3,91477.5,13544.574,1767513599999
1767513600000,91477.5,91581.7,91111.9,91262.7,11954.424,1767527999999
1767528000000,91262.8,91377.2,90968.0,91292.8,10317.597,1767542399999
1767542400000,91292.8,91429.4,90790.1,91102.9,9385.331,1767556799999
1767556800000,91102.9,91567.0,91085.1,91497.1,7534.629,1767571199999
1767571200000,91497.2,93382.5,91476.5,92835.2,51047.503,1767585599999
1767585600000,92835.3,92920.0,92102.0,92492.1,20234.161,1767599999999
1767600000000,92492.1,93131.8,92292.0,93093.3,20213.743,1767614399999
1767614400000,93093.3,93998.9,92370.9,93899.9,43133.117,1767628799999
1767628800000,93900.0,94475.7,93201.0,94248.6,35514.604,1767643199999
1767643200000,94248.6,94760.3,93757.9,93822.4,19273.184,1767657599999
1767657600000,93822.3,94125.1,93467.1,93725.8,13154.652,1767671999999
1767672000000,93725.7,93966.4,93088.0,93207.4,16653.016,1767686399999
1767686400000,93207.4,93865.5,93130.4,93799.9,13061.435,1767700799999
1767700800000,93800.0,94415.4,93292.0,93608.2,42110.368,1767715199999
1767715200000,93608.2,93728.9,91209.0,92062.2,69722.545,1767729599999
1767729600000,92062.2,93825.0,92062.2,93708.0,32741.034,1767743999999
1767744000000,93708.1,93708.1,92202.9,92778.2,23633.179,1767758399999
1767758400000,92778.1,92893.0,92457.9,92848.1,9331.514,1767772799999
1767772800000,92848.1,92928.0,91549.9,92041.9,31461.263,1767787199999
1767787200000,92041.8,92249.3,90987.0,91303.1,39915.388,1767801599999
1767801600000,91303.2,91750.0,90634.1,91143.6,28364.998,1767815999999
1767816000000,91143.6,91462.1,90740.5,91328.0,16280.508,1767830399999
1767830400000,91328.1,91666.0,90555.1,90780.1,15801.589,1767844799999
1767844800000,90780.0,91157.6,89588.1,90509.9,33939.861,1767859199999
1767859200000,90509.8,90741.2,89733.6,90192.3,26745.978,1767873599999
1767873600000,90192.2,90790.0,89242.0,90730.0,49177.48,1767887999999
1767888000000,90730.0,91425.1,90244.7,90890.9,28633.856,1767902399999
1767902400000,90890.9,91449.9,90519.9,91059.8,14177.18,1767916799999
1767916800000,91059.8,91600.0,90800.6,91190.1,13112.406,1767931199999
1767931200000,91190.1,91203.0,90704.0,90712.1,7718.517,1767945599999
1767945600000,90712.1,90812.0,89632.8,90398.1,29857.973,1767959999999
1767960000000,90398.1,91999.0,89800.0,91137.7,50210.138,1767974399999
1767974400000,91137.8,91749.9,90145.0,90290.6,30045.679,1767988799999
1767988800000,90290.6,90693.0,90082.6,90603.6,9449.964,1768003199999
1768003200000,90603.7,90748.6,90474.4,90591.3,4296.028,1768017599999
1768017600000,90591.3,90650.4,90351.6,90627.1,3897.275,1768031999999
1768032000000,90627.1,90800.0,90570.0,90692.8,5112.255,1768046399999
1768046400000,90692.9,90758.7,90494.0,90622.7,4673.046,1768060799999
1768060800000,90622.8,90708.0,90450.0,90591.4,3632.768,1768075199999
1768075200000,90591.3,90627.6,90358.5,90469.6,3659.369,1768089599999
1768089600000,90469.7,90699.9,90410.6,90696.5,3298.738,1768103999999
1768104000000,90696.4,90818.0,90530.9,90664.0,3375.466,1768118399999
1768118400000,90663.9,90787.8,90555.0,90707.3,4860.961,1768132799999
1768132800000,90707.2,91143.1,90650.0,90834.1,11189.115,1768147199999
1768147200000,90834.0,91252.5,90609.5,90644.7,7657.326,1768161599999
1768161600000,90644.7,91000.0,90175.3,90964.4,13162.776,1768175999999
1768176000000,90964.4,92488.0,90642.0,91766.2,34613.115,1768190399999
1768190400000,91766.2,92245.1,91342.0,91369.2,14891.693,1768204799999
1768204800000,91369.2,91586.5,90319.4,90573.9,30364.738,1768219199999
1768219200000,90573.9,91637.8,90066.0,91618.7,33382.596,1768233599999
1768233600000,91618.6,92299.0,90966.0,91821.9,43461.407,1768247999999
1768248000000,91821.9,92017.0,90870.0,91252.6,12523.834,1768262399999
