open_time,open,high,low,close,volume,close_time
1756180800000,109825.1,110136.7,109825.1,110096.3,1256.418,1756181699999
1756181700000,110096.3,110135.2,109923.0,110116.9,957.373,1756182599999
1756182600000,110116.9,110188.4,109954.6,109977.0,906.874,1756183499999
1756183500000,109976.9,110106.4,109880.0,110041.0,518.74,1756184399999
1756184400000,110041.1,110226.4,110041.0,110190.0,773.0,1756185299999
1756185300000,110190.0,110217.5,110101.6,110101.6,507.986,1756186199999
1756186200000,110101.7,110267.3,110026.9,110255.6,679.837,1756187099999
1756187100000,110255.6,110320.1,110141.2,110141.3,607.515,1756187999999
1756188000000,110141.2,110269.6,110043.1,110226.6,657.62,1756188899999
1756188900000,110226.6,110287.5,109846.1,109961.8,1432.102,1756189799999
1756189800000,109961.9,110048.8,109924.5,109957.7,480.522,1756190699999
1756190700000,109957.8,110054.6,109858.9,109949.4,504.676,1756191599999
1756191600000,109949.3,110007.8,109725.0,109749.7,1012.06,1756192499999
1756192500000,109749.8,109947.9,109711.0,109932.8,734.352,1756193399999
1756193400000,109932.7,110508.5,109894.2,110263.2,2679.766,1756194299999
1756194300000,110263.2,110330.8,110131.7,110244.2,863.031,1756195199999
1756195200000,110244.2,110331.8,110139.4,110228.5,590.106,1756196099999
1756196100000,110228.4,110405.6,109943.1,110023.2,1123.8,1756196999999
1756197000000,110023.2,110127.7,109963.2,110127.7,482.519,1756197899999
1756197900000,110127.7,110377.9,110042.4,110047.5,905.08,1756198799999
1756198800000,110047.6,110284.2,110047.5,110214.0,454.974,1756199699999
1756199700000,110213.9,110365.6,110181.8,110277.0,571.811,1756200599999
1756200600000,110277.0,110313.2,110000.0,110012.3,524.382,1756201499999
1756201500000,110012.4,110108.6,109976.9,110108.6,446.231,1756202399999
1756202400000,110108.6,110317.6,110015.0,110312.1,737.706,1756203299999
1756203300000,110312.0,110366.8,110207.3,110277.7,592.712,1756204199999
1756204200000,110277.7,110340.5,110228.4,110310.3,631.629,1756205099999
1756205100000,110310.3,110332.3,110088.0,110169.0,676.774,1756205999999
1756206000000,110169.0,110180.6,109968.5,109989.0,756.064,1756206899999
1756206900000,109988.9,109989.0,109775.1,109823.8,1915.273,1756207799999
1756207800000,109823.7,109823.9,109575.0,109625.1,1690.216,1756208699999
1756208700000,109625.1,109842.2,109529.5,109842.2,1333.83,1756209599999
1756209600000,109842.2,109875.1,109576.5,109590.4,1146.105,1756210499999
1756210500000,109590.4,109726.2,109572.7,109681.2,499.094,1756211399999
1756211400000,109681.2,110817.5,109681.1,110479.0,5457.75,1756212299999
1756212300000,110479.0,110645.0,109729.0,110172.5,5131.228,1756213199999
1756213200000,110172.4,110235.6,110009.3,110113.9,1247.498,1756214099999
1756214100000,110113.9,110159.8,109740.6,109808.1,1499.587,1756214999999
1756215000000,109808.1,110198.3,109659.0,109851.2,4035.08,1756215899999
1756215900000,109851.1,110079.6,109350.0,110051.2,5409.346,1756216799999
1756216800000,110051.2,110272.2,109756.2,109844.1,2416.531,1756217699999
1756217700000,109844.1,110515.1,109750.0,110159.8,2486.172,1756218599999
1756218600000,110159.7,110455.3,110095.6,110340.6,1691.257,1756219499999
1756219500000,110340.7,110461.5,110113.9,110323.9,1335.025,1756220399999
1756220400000,110323.9,110525.4,110186.8,110204.4,1877.646,1756221299999
1756221300000,110204.4,110404.0,110000.0,110029.0,1775.183,1756222199999
1756222200000,110029.1,110032.6,109499.9,109554.8,3414.596,1756223099999
1756223100000,109554.8,109757.0,109537.8,109624.6,1492.405,1756223999999
1756224000000,109624.6,109742.4,109446.1,109479.5,1000.555,1756224899999
1756224900000,109479.5,109708.2,109400.0,109708.2,1354.956,1756225799999
1756225800000,109708.2,109814.8,109559.0,109772.8,1326.411,1756226699999
1756226700000,109772.8,110129.7,109662.7,110129.6,1154.925,1756227599999
1756227600000,110129.6,110174.4,109727.9,109827.3,1409.13,1756228499999
1756228500000,109827.2,109920.1,109722.4,109808.1,702.257,1756229399999
1756229400000,109808.1,109844.8,109548.0,109623.7,936.646,1756230299999
1756230300000,109623.7,109950.0,109606.9,109950.0,659.7,1756231199999
1756231200000,109950.0,110139.8,109924.6,110068.6,947.4,1756232099999
1756232100000,110068.6,110459.6,110034.2,110444.4,1414.065,1756232999999
1756233000000,110444.4,110939.2,110341.3,110842.6,2627.3,1756233899999
1756233900000,110842.6,110891.0,110611.5,110650.0,1420.296,1756234799999
1756234800000,110650.0,110653.5,110447.1,110612.1,949.647,1756235699999
1756235700000,110612.2,111099.6,110555.8,111059.3,2589.503,1756236599999
1756236600000,111059.4,111069.5,110772.5,110772.6,1430.07,1756237499999
1756237500000,110772.5,111106.5,110772.5,111053.5,1602.752,1756238399999
1756238400000,111053.5,111200.0,110855.0,111199.9,1178.08,1756239299999
1756239300000,111199.9,111311.0,111110.3,111269.0,1583.769,1756240199999
1756240200000,111268.9,111269.0,111121.3,111139.6,1030.604,1756241099999
1756241100000,111139.5,111311.0,111081.1,111258.6,896.701,1756241999999
1756242000000,111258.5,111287.6,111052.5,111062.5,588.112,1756242899999
1756242900000,111062.6,111269.1,111062.5,111219.9,413.968,1756243799999
1756243800000,111219.9,111419.6,111157.3,111197.3,1243.884,1756244699999
1756244700000,111197.2,111537.4,111114.8,111530.3,828.955,1756245599999
1756245600000,111530.3,111826.2,111523.5,111820.5,3030.219,1756246499999
1756246500000,111820.4,111877.1,111576.4,111579.2,1238.113,1756247399999
1756247400000,111579.1,111704.5,111501.6,111541.4,806.037,1756248299999
1756248300000,111541.5,111871.0,111520.0,111848.1,622.448,1756249199999
1756249200000,111848.0,112330.0,111827.5,112270.0,3327.072,1756250099999
1756250100000,112270.0,112277.0,111869.1,111886.1,2851.733,1756250999999
1756251000000,111886.2,111906.3,111721.8,111836.9,1584.964,1756251899999
1756251900000,111836.9,111837.0,111674.8,111709.9,632.339,1756252799999
1756252800000,111710.0,111731.1,111572.9,111655.0,1060.353,1756253699999
1756253700000,111655.0,111716.5,111547.9,111578.9,822.526,1756254599999
1756254600000,111579.0,111765.6,111477.7,111500.0,928.538,1756255499999
1756255500000,111499.9,111513.0,111281.3,111307.7,2063.876,1756256399999
1756256400000,111307.8,111432.3,111234.5,111352.6,854.02,1756257299999
1756257300000,111352.5,111354.9,111153.8,111206.2,678.143,1756258199999
1756258200000,111206.3,111323.3,111053.3,111080.5,716.308,1756259099999
1756259100000,111081.0,111296.0,111081.0,111249.5,654.95,1756259999999
1756260000000,111249.6,111294.6,111066.6,111102.4,668.987,1756260899999
1756260900000,111102.5,111427.0,111102.4,111261.8,1050.173,1756261799999
1756261800000,111261.8,111412.9,111250.0,111321.7,669.88,1756262699999
1756262700000,111321.6,111321.7,111057.5,111084.4,509.424,1756263599999
1756263600000,111084.5,111186.3,110936.7,110996.6,944.145,1756264499999
1756264500000,110996.6,111046.9,110867.1,110927.1,852.601,1756265399999
1756265400000,110927.1,111159.9,110927.1,111150.6,754.203,1756266299999
1756266300000,111150.6,111678.3,111150.5,111373.7,2147.108,1756267199999
1756267200000,111373.8,111700.4,111359.0,111462.7,1207.339,1756268099999
1756268100000,111462.7,111594.0,111364.4,111408.0,626.144,1756268999999
1756269000000,111407.9,111608.0,111366.2,111511.8,445.115,1756269899999
1756269900000,111511.8,111627.2,111464.9,111521.3,396.922,1756270799999
1756270800000,111521.3,111549.9,111331.7,111538.9,812.041,1756271699999
1756271700000,111538.8,111628.1,111275.0,111317.3,1048.372,1756272599999
1756272600000,111317.3,111431.2,111275.0,111362.4,421.134,1756273499999
1756273500000,111362.3,111377.4,111292.7,111316.8,272.163,1756274399999
1756274400000,111316.8,111326.2,111211.3,111232.0,528.617,1756275299999
1756275300000,111232.0,111320.0,111121.2,111217.9,804.894,1756276199999
1756276200000,111217.9,111269.1,111059.6,111092.0,531.64,1756277099999
1756277100000,111091.9,111104.0,110969.6,110994.2,612.978,1756277999999
1756278000000,110994.3,111096.4,110954.8,110958.9,594.307,1756278899999
1756278900000,110958.8,110966.5,110665.1,110795.1,1490.33,1756279799999
1756279800000,110795.2,110872.7,110637.2,110680.5,859.319,1756280699999
1756280700000,110680.6,110816.2,110586.5,110688.0,1137.282,1756281599999
1756281600000,110688.0,110800.0,110601.7,110650.5,831.441,1756282499999
1756282500000,110650.5,110675.6,110535.0,110557.6,823.445,1756283399999
1756283400000,110557.5,110602.2,110466.9,110503.6,1054.92,1756284299999
1756284300000,110503.5,110723.0,110306.9,110705.2,1802.782,1756285199999
1756285200000,110705.1,110888.0,110669.2,110800.0,1197.337,1756286099999
1756286100000,110799.9,110950.0,110785.5,110920.9,903.042,1756286999999
1756287000000,110921.0,111076.9,110830.9,110855.3,900.306,1756287899999
1756287900000,110855.3,110855.4,110753.8,110763.9,588.739,1756288799999
1756288800000,110763.9,111040.4,110763.9,111040.4,546.856,1756289699999
1756289700000,111040.3,111232.0,110905.3,110997.9,1178.324,1756290599999
1756290600000,110997.9,111086.6,110855.0,111009.6,603.463,1756291499999
1756291500000,111009.7,111054.0,110923.6,110928.5,225.912,1756292399999
1756292400000,110928.5,111229.0,110928.5,111228.9,748.488,1756293299999
1756293300000,111229.0,111229.0,111079.9,111128.2,431.828,1756294199999
1756294200000,111128.2,111256.2,111128.2,111193.5,384.222,1756295099999
